データコード,FM02'STRACLUCON
系列名称,"無担保コールレート・Ｏ／Ｎ　月平均／金利"
1985/01,
1985/02,
1985/03,
1985/04,
1985/05,
1985/06,
1985/07,6.4167
1985/08,6.2476
1985/09,6.4972
1985/10,6.66
1985/11,7.4185
1985/12,8.2425
1986/01,7.0455
1986/02,6.0256
1986/03,5.7552
1986/04,4.9661
1986/05,4.3984
1986/06,4.5234
1986/07,4.6298
1986/08,4.6771
1986/09,4.7585
1986/10,4.5365
1986/11,3.9048
1986/12,4.315
1987/01,4.3304
1987/02,4.2768
1987/03,3.9922
1987/04,3.7147
1987/05,3.2955
1987/06,3.3073
1987/07,3.295
1987/08,3.3151
1987/09,3.5142
1987/10,3.5
1987/11,3.5268
1987/12,3.9575
1988/01,3.6994
1988/02,3.5852
1988/03,3.7734
1988/04,3.4946
1988/05,3.4643
1988/06,3.5938
1988/07,3.8646
1988/08,3.98
1988/09,4.0852
1988/10,4.1712
1988/11,3.9432
1988/12,4.3625
1989/01,4.09375
1989/02,4.17928
1989/03,4.25426
1989/04,4.42031
1989/05,4.675
1989/06,5.13778
1989/07,5.2247
1989/08,5.38043
1989/09,5.43125
1989/10,6.00893
1989/11,6.15156
1989/12,6.44792
1990/01,6.58059
1990/02,6.64309
1990/03,6.81696
1990/04,7.1625
1990/05,7.25893
1990/06,7.36458
1990/07,7.52415
1990/08,7.54348
1990/09,7.76316
1990/10,7.81108
1990/11,8.07656
1990/12,8.22969
1991/01,8.05428
1991/02,8.12007
1991/03,8.27813
1991/04,8.23363
1991/05,8.03274
1991/06,8.04063
1991/07,7.4606
1991/08,7.48438
1991/09,7.04934
1991/10,6.85795
1991/11,6.38281
1991/12,6.30952
1992/01,5.52632
1992/02,5.68257
1992/03,5.65327
1992/04,4.76637
1992/05,4.74507
1992/06,4.75284
1992/07,4.53125
1992/08,4.11905
1992/09,4.22656
1992/10,4.07386
1992/11,3.94572
1992/12,3.89489
